Municipio,CodPonto,TipoRede,UGRHI,SEQID,SistHidrico,Coleta_Data,"1,1,1 - Tricloroetano","1,1,1,2 - Tetracloroetano","1,1,2 - Tricloroetano","1,1,2,2 - Tetracloroetano","1,1-Dicloro-1-Propeno","1,1-Dicloroetano","1,1-Dicloroeteno","1,2 Dicloroetano","1,2,3-Triclorobenzeno","1,2,3-Tricloropropano","1,2,4-Triclorobenzeno","1,2,4-Trimetilbenzeno","1,2-Dibromo-3-Cloropropano","1,2-Dibromoetano","1,2-Diclorobenzeno","1,2-Dicloropropano","1,3,5 Triclorobenzeno","1,3,5-Trimetilbenzeno","1,3-Diclorobenzeno","1,3-Dicloropropano","1,4-Diclorobenzeno",1-Cloro-2-Metilbenzeno,1-Cloro-4-Metilbenzeno,1-Metil-Naftaleno,"2,2-Dicloropropano",2-Clorotolueno,2-Metil-Naftaleno,4-Clorotolueno,Acenafteno,Acenaftileno,Alcalinidade Bicarbonato,Alcalinidade Carbonato,Alcalinidade Hidróxido,Alcalinidade Total,Alumínio Dissolvido,Alumínio Total,Antraceno,Arsênio Total,Benzeno,Benzo(a)antraceno,Benzo(a)pireno,Benzo(b)fluoranteno,"Benzo(g,h,i)perileno",Benzo(k)fluoranteno,Boro Total,Bromobenzeno,Bromoclorometano,Bromodiclorometano,Bromofórmio,Bário Total,Carbono Orgânico Dissolvido,Carbono Orgânico Total,Chumbo Total,Cilindrospermopsina,Cloreto Total,Cloreto de Metileno,Cloreto de vinila,Clorobenzeno,Cloroetano,Clorofila-a,Clorofórmio,Cobre Dissolvido,Cobre Total,Condutividade,Cor Verdadeira,Criseno,Crômio Total,Cádmio Total,Cálcio Total,"DBO (5, 20)",DQO,"Dibenzo(a,h)antraceno",Dibromoclorometano,Dibromometano,Dureza,Ens. Ecotoxic. c/ Vibrio fischeri,Escherichia coli**,Estireno,Etilbenzeno,Fenantreno,Fenóis Totais,Feofitina-a,Ferro Dissolvido,Ferro Total,Fluoranteno,Fluoreno,Fluoreto Total,Fósforo Total,Fósforo-Ortofosfato,Hexaclorobutadieno,"Indeno(1,2,3-cd)pireno",Isopropilbenzeno,Magnésio Total,Manganês Total,Mercúrio Total,Microcistinas,Naftaleno,Nitrogênio Amoniacal,Nitrogênio Kjeldahl,Nitrogênio-Nitrato,Nitrogênio-Nitrito,Níquel Total,Número de Células de Cianobactérias,Oxigênio Dissolvido,Pireno,Potencial de Formação de THM,Potássio,Profundidade da Coleta,Salinidade,Saxitoxina,Subst. Tensoat. reagem c/ Azul Metileno,Sulfato Total,Sódio,Sólido Dissolvido Total,Sólido Suspenso Total,Sólido Total,TA98 + S9,TA98 - S9,Temperatura da Água,Temperatura do Ar,Tetracloreto de Carbono,Tetracloroeteno,Tetracloroetileno,Tolueno,Tricloroeteno,Tricloroetileno,Triclorofluormetano,Turbidez,Zinco Total,"cis-1,2-Dicloroeteno","m,p-Xileno",n-Butilbenzeno,n-Propilbenzeno,o-Xileno,p-Isopropiltolueno,pH,sec-Butilbenzeno,terc-Butilbenzeno,"trans-1,2-Dicloroeteno",Óleos e Graxas
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,03/13/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,,15.4,,,,,,,,,149,,,,,,5,,,,,,,2200,,,,,,,,,,0.19,0.018,0.1,,,,,,,,,1,1,0.26,0.065,,,9.3,,,,,1,,,12,,94,,104,,,25.2,32,,,,,,,,4.83,,,,,,,,6.96,,,,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,05/15/2019,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.051,0.095,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,,3.7,0.01,,603,,,,,0.94,,0.005,0.005,4690,,0.015,0.01,0.001,16.1,5,,0.015,,,227,,2800,5,2.5,0.02,,0.6,0.16,0.46,0.02,0.02,0.5,0.054,,,0.08,,45.3,0.11,0.0001,,0.03,1,1,,0.02,0.01,,6.8,0.02,,17,,1.12,,0.08,96.6,270,680,,1210,,,24.4,26.8,,,,2,,,,3.96,0.054,,5,,,2.5,,5.89,,,,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,07/24/2019,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.05,0.13,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,,5.1,0.01,,110,,,,,10.69,,0.005,0.005,457,,0.015,0.01,0.001,12.7,5,,0.015,,,64.9,,9800,,10,0.02,,3.86,0.05,0.33,0.02,0.02,0.14,0.13,0.1,,0.08,,8.08,0.064,0.0001,,0.03,1,1,0.53,0.043,0.01,,7.8,0.02,,7.18,,1,,0.08,31,72.4,270,,318,,,20,24.1,,,,10,,,,7.29,0.01,,,,,10,,6.7,,,,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,09/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,,,26.1,,,,,,,,,181,,,,,,5,,,,,,,3100,,,,,,,,,,0.1,0.016,0.1,,,,,,,,,1,1,0.35,0.04,,,9.5,,,,,1,,,7.28,,98,,128,,,20,22,,,,,,,,3.19,,,,,,,,7.11,,,,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,11/27/2019,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.05,0.11,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,3.87,0.01,,595,2.5,,2.5,,5.83,2.5,0.005,0.007,2136,,0.015,0.01,0.001,15.6,5,,0.015,2.5,10,164,,2500,5,2.5,0.02,,1.9,0.066,0.23,0.02,0.02,0.16,0.087,0.1,5,0.08,2.5,30.2,0.074,0.0002,,0.03,1,1,0.7,0.067,0.01,,8.4,0.02,,20.7,,1.09,,0.08,92.7,312,980,,1310,,,22.8,22.6,2,2.5,,2,2.5,,,3.21,0.026,2.5,5,2.5,2.5,2.5,2.5,7.17,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,03/04/2020,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.099,0.75,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,2.87,0.01,,5.89,2.5,2,2.5,,1,2.5,0.005,0.005,60,,0.015,0.01,0.001,4.36,5,,0.015,2.5,10,,,1800,5,2.5,0.03,,4.2,0.17,0.84,0.02,0.02,0.1,0.037,0.1,5,0.08,2.5,0.95,0.093,0.0002,,0.03,1,1,0.46,0.027,0.01,,8.4,0.02,,1.57,,1,,0.08,3.83,7.46,50,,76,,,21,27.4,2,2.5,,2,2.5,,,24.8,0.01,2.5,5,2.5,2.5,2.5,2.5,6.81,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,11/04/2020,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.05,0.14,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,4.13,0.01,,70,2.5,2,2.5,,16.6,2.5,0.005,0.005,339,,0.027,0.01,0.001,10.7,,,0.015,2.5,10,40.1,,2500,5,2.5,0.02,,5,0.05,0.27,0.02,0.02,0.16,0.027,0.1,5,0.08,2.5,3.24,0.075,0.0002,,0.03,1,2.96,0.34,0.058,0.01,,8.8,0.03,,3.97,,1,,,14.3,47.8,162,,210,,,20.5,23,2,2.5,,2,2.5,,,9.17,0.01,2.5,5,2.5,2.5,2.5,2.5,6.95,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,12/02/2020,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.05,0.083,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,5.09,0.01,,121,2.5,2,2.5,,17.6,2.5,0.005,0.005,540,,0.015,0.01,0.001,19.5,,,0.015,2.5,10,110,,1840,5,2.5,0.02,,2.6,0.05,0.22,0.02,0.02,0.15,0.046,0.1,5,0.08,2.5,14.8,0.072,0.0002,,0.03,1,1,0.26,0.027,0.01,,7.6,0.02,,10.3,,1,,,23.3,130,120,,180,,,25.3,26.3,2,2.5,,2,2.5,,,4.02,0.041,2.5,5,2.5,2.5,2.5,2.5,7.61,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,03/01/2021,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.05,0.16,0.02,,2.5,0.015,0.02,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,5.6,0.01,,440,2.5,2,2.5,,6.15,2.5,0.005,0.005,1631,,0.015,0.01,0.001,15.9,,,0.015,2.5,10,145,,5000,5,2.5,0.05,,0.78,0.14,0.44,0.02,0.02,0.22,0.16,0.1,5,0.08,2.5,25.6,0.095,0.0002,,0.03,1,1,0.4,0.08,0.01,,7.1,0.02,,12,,1,,,59.6,274,816,,960,,,26.4,27.6,2,2.5,,2,2.5,,,4.34,0.011,2.5,5,2.5,2.5,2.5,2.5,7.23,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,06/08/2021,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.05,0.2,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,4.9,0.01,,523,2.5,2,2.5,,4.01,2.5,0.005,0.005,2017,,0.015,0.01,0.001,15.9,,,0.015,2.5,10,185,,8400,5,2.5,0.02,,4.1,0.1,0.53,0.02,0.02,0.21,0.059,0.1,5,0.08,2.5,35.3,0.072,0.0002,,0.03,1,1,0.59,0.024,0.01,,8,0.02,,15.5,,1,,,78.6,305,860,,1150,,,20.7,23,2,2.5,,2,2.5,,,16.9,0.01,2.5,5,2.5,2.5,2.5,2.5,7.67,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,09/14/2021,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.05,0.055,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,5.7,0.01,,3570,2.5,2,2.5,,9.89,2.5,0.005,0.005,11030,,0.015,0.01,0.001,93.6,,,0.015,2.5,10,1260,,3400,5,2.5,0.02,,2.83,0.05,0.32,0.02,0.02,0.5,0.11,,5,0.08,2.5,248,0.086,0.0002,,0.03,1,1,,0.048,0.01,,7.5,0.02,,86.4,,6.3,,,502,2400,4430,,6110,,,23.6,27,2,2.5,,2,2.5,,,4.65,0.01,2.5,5,2.5,2.5,2.5,2.5,7.35,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,11/30/2021,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.05,0.18,0.02,,2.5,0.015,0.02,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,7.43,0.01,,560,2.5,2,2.5,,8.02,2.5,0.005,0.005,250,,0.024,0.01,0.001,18.8,,,0.015,2.5,10,192,,2100,5,2.5,0.02,,2.79,0.11,0.5,0.02,0.02,0.18,0.08,0.1,5,0.08,2.5,35.1,0.071,0.0002,,0.03,1,1.87,0.45,0.036,0.01,,3.3,0.02,,13.6,,0.1,,0.08,81.8,335,936,,1150,,,24.2,30.5,2,2.5,,2,2.5,,,10.1,0.01,2.5,5,2.5,2.5,2.5,2.5,4.04,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,03/31/2022,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.1,0.1,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.02,,2.45,0.01,,33.2,2.5,2,2.5,,9.21,2.5,0.005,0.005,240,,0.016,0.05,0.001,7.62,,,0.015,2.5,10,31.3,,6200,5,2.5,0.02,,1.81,0.2,0.23,0.02,0.02,0.11,0.04,0.1,5,0.08,2.5,2.98,0.1,0.0002,,0.03,3.39,3.76,0.41,0.078,0.02,,8,0.02,,2.98,,1,,0.08,16.9,27.4,124,,128,,,25,24,2,2.5,,2,2.5,,,6.12,0.1,2.5,5,2.5,2.5,2.5,2.5,6.96,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,06/09/2022,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.1,0.1,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.02,,3.71,0.01,,235,2.5,2,2.5,,8.82,2.5,0.005,0.005,965,,0.015,0.05,0.001,11.4,,,0.015,2.5,10,94,,2300,5,2.5,0.02,,2.59,0.2,0.24,0.02,0.02,0.1,0.06,0.1,5,0.08,2.5,15.9,0.1,0.0002,,0.03,1,1.66,0.44,0.13,0.02,,9.21,0.02,,8.27,,1,,0.08,40.6,122,452,,552,,,20,23,2,2.5,,2,2.5,,,4.48,0.1,2.5,5,2.5,2.5,2.5,2.5,6.85,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,09/01/2022,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.1,0.1,0.02,,2.5,0.015,0.01,0.015,0.05,0.015,,2.5,10,2.5,10,0.02,,4.8,0.01,,508,2.5,2,2.5,,6.42,2.5,0.005,0.005,2,,0.015,0.05,0.001,19.3,,,0.015,2.5,10,177,,4300,5,2.5,0.02,,2.57,0.2,0.24,0.02,0.02,0.15,0.12,0.1,5,0.05,2.5,31.4,0.1,0.0002,,0.03,1,1,0.6,0.051,0.02,,9.2,0.02,,16.3,,2,,0.08,85.4,204,1138,100,1150,,,19,21,2,2.5,,2,2.5,,,3.48,0.1,2.5,5,2.5,2.5,2.5,2.5,7.09,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,12/01/2022,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.1,0.23,0.02,,2.5,0.015,0.01,0.015,0.05,0.015,,2.5,10,2.5,10,0.02,,6.1,0.01,,25.1,2.5,2,2.5,,6.68,2.5,0.005,0.005,143,,0.015,0.05,0.001,5.64,,,0.015,2.5,10,21.9,,624,5,2.5,0.02,,1.04,0.2,0.29,0.02,0.02,0.1,0.03,0.1,5,0.05,2.5,1.9,0.1,0.0002,,0.03,1,1,0.32,0.046,0.02,,9.2,0.02,,1.72,,1,,0.08,7.25,18.1,100,100,100,,,21,26,2,2.5,,2,2.5,,,5.73,0.1,2.5,5,2.5,2.5,2.5,2.5,7.01,2.5,2.5,2.5,
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,03/08/2023,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.1,0.1,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,5.06,0.01,,83.9,,,,,9.94,,0.005,0.005,415,,0.015,0.05,0.001,11.2,,,0.015,,,52.3,,10400,,,0.02,,1.5,0.2,0.28,0.02,0.02,0.12,0.08,0.1,,0.05,,5.91,0.1,0.0002,,0.03,1,1,0.19,0.053,0.02,,9.2,0.02,,4.91,,1,,0.08,16.9,49,202,,224,,,23,38,,,,,,,,3.44,0.1,,,,,,,7.27,,,,10
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,06/13/2023,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.89,0.89,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,4.8,0.01,,3290,,,,,8.41,,,,9460,,0.015,0.05,0.001,66.7,,,0.015,,,929,,25000,,,0.02,,1.53,0.2,0.3,0.02,0.02,,0.18,,,0.05,,185,0.1,0.0002,,0.03,1,1,5.86,,0.02,,7.8,0.02,,75.5,,5.3,,0.08,430,1370,5820,,6350,,,21,20,,,,,,,,4.74,0.1,,,,,,,6.98,,,,10
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,09/12/2023,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.22,0.24,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,6.2,0.01,,510,,,,,11.7,,,,1880,,0.015,0.05,0.002,17.9,,,0.015,,,172,,980,,,0.02,,1.5,0.2,0.32,0.02,0.02,0.13,0.07,0.1,,0.05,,30.8,0.1,0.0002,,0.03,1,1,0.31,0.014,0.02,,9.5,0.02,,13.9,,1,,0.08,77.3,269,1030,,1040,,,22,27,,,,,,,,2.75,0.1,,,,,,,7.35,,,,10
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,12/05/2023,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.12,0.15,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,4,0.01,,48.4,,,,,22.7,,0.005,0.005,25.1,,0.015,0.05,0.001,10.8,,,0.015,,,38.2,,1280,,,0.02,,1.5,0.2,0.2,0.02,0.02,0.14,0.03,0.1,,0.05,,2.73,0.1,0.0002,,0.03,1,1,0.19,0.013,0.02,,9.5,0.02,,4.73,,1,,0.08,8.96,35.9,84,,84,,,24,29,,,,,,,,4.57,0.1,,,,,,,7.64,,,,10
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,03/12/2024,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.1,0.1,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,5.2,0.01,,64.4,,,,,9.39,,0.005,0.005,292,,0.015,0.05,0.001,7.94,,,0.015,,,40.9,,6200,,,0.02,,1.5,0.2,0.3,0.02,0.02,0.1,0.05,0.1,,0.05,,5.12,0.1,0.0002,,0.03,1,1,0.4,0.034,0.02,,8.4,0.02,,3.58,,1,,0.08,16.2,44.2,162,,178,,,26,29,,,,,,,,5.11,0.1,,,,,,,7.12,,,,10
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,05/08/2024,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.1,0.1,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,5.5,0.01,,167,,,,,16.5,,0.005,0.005,901,,0.015,0.05,0.001,11,,,0.015,,,69.1,,6800,,,0.02,,1.56,0.2,0.2,0.02,0.02,0.14,0.06,0.1,,0.05,,10.1,0.1,0.0002,,0.03,1,2.04,0.4,0.011,0.02,,9.4,0.02,,6.61,,1,,0.08,28.6,91.3,374,,426,,,23,31,,,,,,,,6.52,0.1,,,,,,,7.46,,,,10
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,09/17/2024,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.1,0.18,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,5.22,0.01,,75.4,,,,,8.72,,0.005,0.005,347,,0.015,0.05,0.001,7.16,,,0.015,,,38.9,,1700,,,0.04,,2.01,0.2,0.4,0.02,0.02,0.1,0.06,0.1,,0.05,,5.11,0.1,0.0001,,0.03,1,1,0.64,0.01,0.02,,9.4,0.05,,3.78,,0.17,,0.08,15.4,47.1,180,,212,,,18,22,,,,,,,,6.67,0.1,,,,,,,9.04,,,,10
CUBATAO,CUBA03900,Rede Básica,07 - BAIXADA SANTISTA,207,Rio Cubatão - CUBA,12/10/2024,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.1,0.22,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.03,,3.59,0.01,,553,,,,,5.28,,0.005,0.005,1870,,0.021,0.05,0.001,14.9,,,0.015,,,174,,7900,,,0.03,,1.5,0.2,0.54,0.02,0.02,0.1,0.09,0.1,,0.05,,33.3,0.1,0.0002,,0.03,1,1,0.66,0.01,0.02,,8.4,0.02,,14.1,,0.95,,0.08,74,256,300,,730,,,22,24,,,,,,,,3.02,0.1,,,,,,,6.56,,,,10
CUBATAO,MOJI02800,Rede Básica,07 - BAIXADA SANTISTA,209,Rio Moji - MOJI,01/14/2016,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,0.02,,,,,,0.395,0.748,0.02,,2.5,0.02,0.01,0.02,0.08,0.01,,2.5,10,2.5,10,0.1,,6.4,0.01,,5.04,2.5,2.5,2.5,,2.67,2.5,0.005,0.005,192,,0.02,0.01,0.005,,5,,0.03,2.5,10,,,1300,5,2.5,0.02,,1.54,0.431,0.832,0.02,0.02,,0.841,,5,0.08,2.5,,0.185,0.0002,,0.03,3.3,4.5,5.79,0.048,0.01,,6.9,0.02,,1.96,,1,,0.08,,11,154,,172,,,25.3,27.3,2,2.5,,2,2.5,,,20.5,0.043,2.5,5,2.5,2.5,2.5,2.5,4.81,2.5,2.5,2.5,
CUBATAO,MOJI02800,Rede Básica,07 - BAIXADA SANTISTA,209,Rio Moji - MOJI,03/30/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,7.05,,,,,,,,,203,,,,,,5,,,,,,,9600,,,,,,,,,,,1.41,,,,,,,,,,6,6,8.51,0.057,,,6.2,,,,,1,,,,,78,,128,,,22.7,25.7,,,,,,,,2.44,,,,,,,,5.94,,,,
CUBATAO,MOJI02800,Rede Básica,07 - BAIXADA SANTISTA,209,Rio Moji - MOJI,05/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.05,0.456,0.02,,10,0.02,0.01,0.02,0.08,0.01,,,,,,0.1,,8.71,0.01,,8.66,,,,,0.56,,0.005,0.005,327,,0.02,0.01,0.005,,10,,0.03,,,,,9100,,10,0.02,,2.49,0.05,0.476,0.02,0.02,,1.15,,,0.08,,,0.302,0.0002,,0.03,5.3,5.7,10.8,0.41,0.01,,3.4,0.02,,2.69,,1,,0.08,,55.1,196,,204,,,22.5,26.8,,,,10,,,,3.48,0.015,,,,,10,,7.02,,,,
CUBATAO,MOJI02800,Rede Básica,07 - BAIXADA SANTISTA,209,Rio Moji - MOJI,07/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.13,0.52,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,,5.83,0.01,,9.99,,,,,5.35,,0.005,0.005,353,,0.015,0.01,0.005,,8,,0.015,,,,,9400,,10,0.02,,2.76,0.27,0.64,0.02,0.02,,1.15,,,0.08,,,0.57,0.0002,,0.03,12,12,7.07,3.2,0.01,,1.4,0.02,,4.61,,1,,0.08,,25.3,214,,218,,,20.6,28.1,,,,10,,,,9.34,0.044,,,,,10,,6.3,,,,
CUBATAO,MOJI02800,Rede Básica,07 - BAIXADA SANTISTA,209,Rio Moji - MOJI,09/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,,,8.69,,,,,,,,,246,,,,,,9,,,,,,,184,,,,,,,,,,,0.98,,,,,,,,,,7.4,7.9,6.26,1.3,,,3,,,,,1,,,,,170,,186,,,20.2,24.3,,,,,,,,6.34,,,,,,,,5.57,,,,
CUBATAO,MOJI02800,Rede Básica,07 - BAIXADA SANTISTA,209,Rio Moji - MOJI,11/16/2016,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,0.02,,,,,,0.23,1.08,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,3.48,0.01,,4.7,2.5,2.5,2.5,,1.13,2.5,0.005,0.005,128,,0.015,0.01,0.005,,5,,0.015,2.5,10,,,440,5,2.5,0.02,,0.65,0.27,0.75,0.02,0.02,,0.53,,5,0.08,2.5,,0.32,0.0002,,0.03,1.8,1.8,4.24,0.037,0.01,,7.2,0.02,,1.95,,1,,0.08,,3.28,120,,134,,,21.9,26.6,2,2.5,,2,2.5,,,8.02,0.02,2.5,5,2.5,2.5,2.5,2.5,6.3,2.5,2.5,2.5,
CUBATAO,MOJI02800,Rede Básica,07 - BAIXADA SANTISTA,209,Rio Moji - MOJI,01/26/2017,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,,0.05,,0.02,0.05,,,,,0.48,1.34,0.02,,1,0.015,0.01,0.015,0.08,0.015,,1,1,1,1,0.1,2.59,3.14,0.01,,5.79,1,1,1,,1.1,1,0.005,0.005,169,,0.015,0.01,0.005,15.1,5,,0.015,1,1,52,,660,1,1,0.02,,0.63,0.36,0.7,0.02,0.02,3.22,1.21,,1,0.08,1,3.49,0.43,0.0002,,0.03,4.7,4.8,6.46,0.065,0.01,,6.2,0.02,,2.88,,1,,0.08,24.9,5.92,116,,230,,,23.6,27.6,1,,1,1,,1,,3.08,0.029,1,1,1,1,1,1,6.79,1,1,1,
